,number,name,type1,type2,h,a,b,c,d,s,abi1,abi2,abi3,weight,single,double,generation
28,44,クサイハナ,くさ,どく,60,65,70,85,75,40,ようりょくそ,,あくしゅう,8.6,0,0,1
29,45,ラフレシア,くさ,どく,75,80,85,110,90,50,ようりょくそ,,ほうし,18.6,0,0,1
30,48,コンパン,むし,どく,60,55,50,40,55,45,ふくがん,いろめがね,にげあし,30,0,0,1
31,49,モルフォン,むし,どく,70,65,60,90,75,90,りんぷん,いろめがね,ミラクルスキン,12.5,1,1,1
32,50_1,ディグダ(通常),じめん,,10,55,25,35,45,95,すながくれ,ありじごく,すなのちから,0.8,0,0,1
33,50_2,ディグダ(アローラ),じめん,はがね,10,55,30,35,45,90,すながくれ,カーリーヘアー,すなのちから,1,0,0,7
34,51_1,ダグトリオ(通常),じめん,,35,100,50,50,70,120,すながくれ,ありじごく,すなのちから,33.3,1,1,1
35,51_2,ダグトリオ(アローラ),じめん,はがね,35,100,60,50,70,110,すながくれ,カーリーヘアー,すなのちから,66.6,1,1,7
36,52_1,ニャース(通常),ノーマル,,40,45,35,40,40,90,ものひろい,テクニシャン,きんちょうかん,4.2,0,0,1
37,52_2,ニャース(アローラ),あく,,40,35,35,50,40,90,ものひろい,テクニシャン,びびり,4.2,0,0,7
38,52_3,ニャース(ガラル),はがね,,50,65,55,40,40,40,ものひろい,かたいツメ,きんちょうかん,7.5,0,0,8
39,53_1,ペルシアン(通常),ノーマル,,65,70,60,65,65,115,じゅうなん,テクニシャン,きんちょうかん,32,1,1,1
40,53_2,ペルシアン(アローラ),あく,,65,60,60,75,65,115,ファーコート,テクニシャン,びびり,33,1,1,7
41,54,コダック,みず,,50,52,48,65,50,55,しめりけ,ノーてんき,すいすい,19.6,0,0,1
42,55,ゴルダック,みず,,80,82,78,95,80,85,しめりけ,ノーてんき,すいすい,76.6,1,1,1
43,56,マンキー,かくとう,,40,80,35,35,45,70,やるき,いかりのつぼ,まけんき,28,0,0,1
44,57,オコリザル,かくとう,,65,105,60,60,70,95,やるき,いかりのつぼ,まけんき,32,0,0,1
45,58_1,ガーディ(通常),ほのお,,55,70,45,70,50,60,いかく,もらいび,せいぎのこころ,19,0,0,1
46,58_2,ガーディ(ヒスイ),ほのお,いわ,60,75,45,65,50,55,いかく,もらいび,いしあたま,22.7,0,0,8.5
47,59_1,ウインディ(通常),ほのお,,90,110,80,100,80,95,いかく,もらいび,せいぎのこころ,155,3,4,1
48,59_2,ウインディ(ヒスイ),ほのお,いわ,95,115,80,95,80,90,いかく,もらいび,いしあたま,168,3,4,8.5
49,60,ニョロモ,みず,,40,50,40,40,40,90,ちょすい,しめりけ,すいすい,12.4,0,0,1
50,61,ニョロゾ,みず,,65,65,65,50,50,90,ちょすい,しめりけ,すいすい,20,0,0,1
51,62,ニョロボン,みず,かくとう,90,95,95,70,90,70,ちょすい,しめりけ,すいすい,54,1,1,1
52,69,マダツボミ,くさ,どく,50,75,35,70,30,40,ようりょくそ,,くいしんぼう,4,0,0,1
53,70,ウツドン,くさ,どく,65,90,50,85,45,55,ようりょくそ,,くいしんぼう,6.4,0,0,1
54,71,ウツボット,くさ,どく,80,105,65,100,70,70,ようりょくそ,,くいしんぼう,15.5,1,1,1
55,72,メノクラゲ,みず,どく,40,40,35,50,100,70,クリアボディ,ヘドロえき,あめうけざら,45.5,0,0,1
56,73,ドククラゲ,みず,どく,80,70,65,80,120,100,クリアボディ,ヘドロえき,あめうけざら,55,0,0,1
57,74_1,イシツブテ(通常),いわ,じめん,40,80,100,30,30,20,いしあたま,がんじょう,すながくれ,20,0,0,1
58,74_2,イシツブテ(アローラ),いわ,でんき,40,80,100,30,30,20,じりょく,がんじょう,エレキスキン,20.3,0,0,7
59,75_1,ゴローン(通常),いわ,じめん,55,95,115,45,45,35,いしあたま,がんじょう,すながくれ,105,0,0,1
60,75_2,ゴローン(アローラ),いわ,でんき,55,95,115,45,45,35,じりょく,がんじょう,エレキスキン,110,0,0,7
61,76_1,ゴローニャ(通常),いわ,じめん,80,120,130,55,65,45,いしあたま,がんじょう,すながくれ,300,1,1,1
62,76_2,ゴローニャ(アローラ),いわ,でんき,80,120,130,55,65,45,じりょく,がんじょう,エレキスキン,316,1,1,7
63,79_1,ヤドン(通常),みず,エスパー,90,65,65,40,40,15,どんかん,マイペース,さいせいりょく,36,0,0,1
64,79_2,ヤドン(ガラル),エスパー,,90,65,65,40,40,15,くいしんぼう,マイペース,さいせいりょく,36,0,0,8
65,80_1,ヤドラン(通常),みず,エスパー,95,75,110,100,80,30,どんかん,マイペース,さいせいりょく,78.5,2,2,1
66,80_2,ヤドラン(ガラル),どく,エスパー,95,100,95,100,70,30,クイックドロウ,マイペース,さいせいりょく,70.5,2,2,8
67,81,コイル,でんき,はがね,25,35,70,95,55,45,じりょく,がんじょう,アナライズ,6,0,0,1
68,82,レアコイル,でんき,はがね,50,60,95,120,70,70,じりょく,がんじょう,アナライズ,60,0,0,1
69,84,ドードー,ノーマル,ひこう,35,85,45,35,35,75,にげあし,はやおき,ちどりあし,39.2,0,0,1
70,85,ドードリオ,ノーマル,ひこう,60,110,70,60,60,110,にげあし,はやおき,ちどりあし,85.2,0,0,1
71,86,パウワウ,みず,,65,45,55,45,70,45,あついしぼう,うるおいボディ,アイスボディ,90,0,0,1
72,87,ジュゴン,みず,こおり,90,70,80,70,95,70,あついしぼう,うるおいボディ,アイスボディ,120,0,0,1
73,88_1,ベトベター(通常),どく,,80,80,50,40,50,25,あくしゅう,ねんちゃく,どくしゅ,30,0,0,1
74,88_2,ベトベター(アローラ),どく,あく,80,80,50,40,50,25,どくしゅ,くいしんぼう,かがくのちから,42,0,0,7
75,89_1,ベトベトン(通常),どく,,105,105,75,65,100,50,あくしゅう,ねんちゃく,どくしゅ,30,1,1,1
76,89_2,ベトベトン(アローラ),どく,あく,105,105,75,65,100,50,どくしゅ,くいしんぼう,かがくのちから,52,1,1,7
77,90,シェルダー,みず,,30,65,100,45,25,40,シェルアーマー,スキルリンク,ぼうじん,4,0,0,1
78,91,パルシェン,みず,こおり,50,95,180,85,45,70,シェルアーマー,スキルリンク,ぼうじん,132.5,2,2,1
79,92,ゴース,ゴースト,どく,30,35,30,100,35,80,ふゆう,,,0.1,0,0,1
80,93,ゴースト,ゴースト,どく,45,50,45,115,55,95,ふゆう,,,0.1,0,0,1
81,94,ゲンガー,ゴースト,どく,60,65,60,130,75,110,のろわれボディ,,,40.5,3,2,1
82,96,スリープ,エスパー,,60,48,45,43,90,42,ふみん,よちむ,せいしんりょく,32.4,0,0,1
83,97,スリーパー,エスパー,,85,73,70,73,115,67,ふみん,よちむ,せいしんりょく,75.6,1,1,1
84,100_1,ビリリダマ(通常),でんき,,40,30,50,55,55,100,ぼうおん,せいでんき,ゆうばく,10.4,0,0,1
85,100_2,ビリリダマ(ヒスイ),でんき,くさ,40,30,50,55,55,100,ぼうおん,せいでんき,ゆうばく,13,0,0,8.5
86,101_1,マルマイン(通常),でんき,,60,50,70,80,80,150,ぼうおん,せいでんき,ゆうばく,66.6,1,1,1
87,101_2,マルマイン(ヒスイ),でんき,くさ,60,50,70,80,80,150,ぼうおん,せいでんき,ゆうばく,71,1,1,8.5
88,102,タマタマ,くさ,エスパー,60,40,80,60,45,40,ようりょくそ,,しゅうかく,2.5,0,0,1
89,103_1,ナッシー,くさ,エスパー,95,95,85,125,75,55,ようりょくそ,,しゅうかく,120,0,0,1
90,103_2,ナッシー(アローラ),くさ,ドラゴン,95,105,85,125,75,45,おみとおし,,しゅうかく,415.6,0,0,7
91,106,サワムラー,かくとう,,50,120,53,35,110,87,じゅうなん,すてみ,かるわざ,49.8,0,0,1
92,107,エビワラー,かくとう,,50,105,79,35,110,76,するどいめ,てつのこぶし,せいしんりょく,50.2,0,0,1
93,109,ドガース,どく,,40,65,95,60,45,35,ふゆう,かがくへんかガス,あくしゅう,1,0,0,1
94,110_1,マタドガス(通常),どく,,65,90,120,85,70,60,ふゆう,かがくへんかガス,あくしゅう,9.5,2,3,1
95,110_2,マタドガス(ガラル),どく,フェアリー,65,90,120,85,70,60,ふゆう,かがくへんかガス,ミストメイカー,16,3,3,8
96,111,サイホーン,じめん,いわ,80,85,95,30,30,25,ひらいしん,いしあたま,すてみ,115,0,0,1
97,112,サイドン,じめん,いわ,105,130,120,45,45,40,ひらいしん,いしあたま,すてみ,120,0,0,1
98,113,ラッキー,ノーマル,,250,5,5,35,105,50,しぜんかいふく,てんのめぐみ,いやしのこころ,34.6,3,2,1
99,116,タッツー,みず,,30,40,70,70,25,60,すいすい,スナイパー,しめりけ,8,0,0,1
100,117,シードラ,みず,,55,65,95,95,45,85,どくのトゲ,スナイパー,しめりけ,25,0,0,1
101,123,ストライク,むし,ひこう,70,110,80,55,80,105,むしのしらせ,テクニシャン,ふくつのこころ,56,1,1,1
102,125,エレブー,でんき,,65,83,57,95,85,105,せいでんき,,やるき,30,0,0,1
103,126,ブーバー,ほのお,,65,95,57,100,85,93,ほのおのからだ,,やるき,44.5,0,0,1
104,128_1,ケンタロス(通常),ノーマル,,75,100,95,40,70,110,いかく,いかりのつぼ,ちからずく,88.4,1,1,1
105,128_2,ケンタロス(パルデア),かくとう,,75,110,105,30,70,100,いかく,いかりのつぼ,はんすう,115,1,1,9
106,128_3,ケンタロス(パルデア炎),かくとう,ほのお,75,110,105,30,70,100,いかく,いかりのつぼ,ちからずく,85,3,2,9
107,128_4,ケンタロス(パルデア水),かくとう,みず,75,110,105,30,70,100,いかく,いかりのつぼ,ちからずく,110,1,1,9
108,129,コイキング,みず,,20,10,55,15,20,80,すいすい,,びびり,10,0,0,1
109,130,ギャラドス,みず,ひこう,95,125,79,60,100,81,いかく,,じしんかじょう,235,3,4,1
110,131,ラプラス,みず,こおり,130,85,80,85,95,60,ちょすい,シェルアーマー,うるおいボディ,220,0,0,1
111,132,メタモン,ノーマル,,48,48,48,48,48,48,じゅうなん,,かわりもの,4,1,1,1
112,133,イーブイ,ノーマル,,55,55,50,45,65,55,にげあし,てきおうりょく,きけんよち,6.5,0,0,1
113,134,シャワーズ,みず,,130,65,60,110,95,65,ちょすい,,うるおいボディ,29,2,2,1
114,135,サンダース,でんき,,65,65,60,110,95,130,ちくでん,,はやあし,24.5,1,1,1
115,136,ブースター,ほのお,,65,130,60,95,110,65,もらいび,,こんじょう,25,1,1,1
116,137,ポリゴン,ノーマル,,65,60,70,85,75,40,トレース,ダウンロード,アナライズ,36.5,0,0,1
117,143,カビゴン,ノーマル,,160,110,65,65,110,30,めんえき,あついしぼう,くいしんぼう,460,4,3,1
118,144_1,フリーザー(通常),こおり,ひこう,90,85,100,95,125,85,プレッシャー,,ゆきがくれ,55.4,2,3,1
119,144_2,フリーザー(ガラル),エスパー,ひこう,90,85,85,125,100,95,かちき,,,50.9,2,2,8
120,145_1,サンダー(通常),でんき,ひこう,90,90,85,125,90,100,プレッシャー,,せいでんき,52.6,4,3,1
121,145_2,サンダー(ガラル),かくとう,ひこう,90,125,90,85,90,100,まけんき,,,58.2,2,2,8
122,146_1,ファイヤー(通常),ほのお,ひこう,90,100,90,125,85,90,プレッシャー,,ほのおのからだ,60,2,2,1
123,146_2,ファイヤー(ガラル),あく,ひこう,90,85,90,100,125,90,ぎゃくじょう,,,66,2,4,8
124,147,ミニリュウ,ドラゴン,,41,64,45,50,50,50,だっぴ,,ふしぎなうろこ,3.3,0,0,1
125,148,ハクリュー,ドラゴン,,61,84,65,70,70,70,だっぴ,,ふしぎなうろこ,16.5,0,0,1
126,149,カイリュー,ドラゴン,ひこう,91,134,95,100,100,80,せいしんりょく,,マルチスケイル,210,4,4,1
127,150,ミュウツー,エスパー,,106,110,90,154,90,130,プレッシャー,,きんちょうかん,122,0,0,1
128,151,ミュウ,エスパー,,100,100,100,100,100,100,シンクロ,,,4,0,0,1
129,152,チコリータ,くさ,,45,49,65,49,65,45,しんりょく,,リーフガード,6.4,0,0,2
130,153,ベイリーフ,くさ,,60,62,80,63,80,60,しんりょく,,リーフガード,15.8,0,0,2
131,154,メガニウム,くさ,,80,82,100,83,100,80,しんりょく,,リーフガード,100.5,0,0,2
132,155,ヒノアラシ,ほのお,,39,52,43,60,50,65,もうか,,もらいび,7.9,0,0,2
133,156,マグマラシ,ほのお,,58,64,58,80,65,80,もうか,,もらいび,19,0,0,2
134,157_1,バクフーン(通常),ほのお,,78,84,78,109,85,100,もうか,,もらいび,79.5,2,2,2
135,157_2,バクフーン(ヒスイ),ほのお,ゴースト,73,84,78,119,85,95,もうか,,おみとおし,69.8,2,3,8
136,158,ワニノコ,みず,,50,65,64,44,48,43,げきりゅう,,ちからずく,9.5,0,0,2
137,159,アリゲイツ,みず,,65,80,80,59,63,58,げきりゅう,,ちからずく,25,0,0,2
138,160,オーダイル,みず,,85,105,100,79,83,78,げきりゅう,,ちからずく,88.8,0,0,2
139,161,オタチ,ノーマル,,35,46,34,35,45,20,にげあし,するどいめ,おみとおし,6,0,0,2
140,162,オオタチ,ノーマル,,85,76,64,45,55,90,にげあし,するどいめ,おみとおし,32.5,1,1,2
141,163,ホーホー,ノーマル,ひこう,60,30,30,36,56,50,ふみん,するどいめ,いろめがね,21.2,0,0,2
142,164,ヨルノズク,ノーマル,ひこう,100,50,50,86,96,70,ふみん,するどいめ,いろめがね,40.8,1,1,2
143,167,イトマル,むし,どく,40,60,40,40,40,30,むしのしらせ,ふみん,スナイパー,8.5,0,0,2
144,168,アリアドス,むし,どく,70,90,70,60,70,40,むしのしらせ,ふみん,スナイパー,33.5,1,1,2
145,170,チョンチー,みず,でんき,75,38,38,56,56,67,ちくでん,はっこう,ちょすい,12,0,0,2
146,171,ランターン,みず,でんき,125,58,58,76,76,67,ちくでん,はっこう,ちょすい,22.5,0,0,2
147,172,ピチュー,でんき,,20,40,15,35,35,60,せいでんき,,ひらいしん,2,0,0,2
148,173,ピィ,フェアリー,,50,25,28,45,55,15,メロメロボディ,マジックガード,フレンドガード,3,0,0,2
149,174,ププリン,ノーマル,フェアリー,90,30,15,40,20,15,メロメロボディ,かちき,フレンドガード,1,0,0,2
150,179,メリープ,でんき,,55,40,40,65,45,35,せいでんき,,プラス,7.8,0,0,2
151,180,モココ,でんき,,70,55,55,80,60,45,せいでんき,,プラス,13.3,0,0,2
152,181,デンリュウ,でんき,,90,75,85,115,90,55,せいでんき,,プラス,61.5,1,1,2
153,182,キレイハナ,くさ,,75,80,95,90,100,50,ようりょくそ,,いやしのこころ,5.8,0,0,2
154,183,マリル,みず,フェアリー,70,20,50,20,50,40,あついしぼう,ちからもち,そうしょく,8.5,0,0,2
155,184,マリルリ,みず,フェアリー,100,50,80,60,80,50,あついしぼう,ちからもち,そうしょく,28.5,4,2,2
156,185,ウソッキー,いわ,,70,100,115,30,65,30,がんじょう,いしあたま,びびり,38,1,1,2
157,186,ニョロトノ,みず,,90,75,75,90,100,70,ちょすい,しめりけ,あめふらし,33.9,2,4,2
158,187,ハネッコ,くさ,ひこう,35,35,40,35,55,50,ようりょくそ,リーフガード,すりぬけ,0.5,0,0,2
159,188,ポポッコ,くさ,ひこう,55,45,50,45,65,80,ようりょくそ,リーフガード,すりぬけ,1,0,0,2
160,189,ワタッコ,くさ,ひこう,75,55,70,55,95,110,ようりょくそ,リーフガード,すりぬけ,3,2,2,2
161,190,エイパム,のーまる,,55,70,55,40,55,85,にげあし,ものひろい,スキルリンク,11.5,0,0,2
162,191,ヒマナッツ,くさ,,30,30,30,30,30,30,ようりょくそ,サンパワー,はやおき,1.8,0,0,2
163,192,キマワリ,くさ,,75,75,55,105,85,30,ようりょくそ,サンパワー,はやおき,8.5,1,1,2
164,193,ヤンヤンマ,むし,ひこう,65,65,45,75,45,95,かそく,ふくがん,おみとおし,38,0,0,2
165,194_1,ウパー(通常),みず,じめん,55,45,45,25,25,15,しめりけ,ちょすい,てんねん,8.5,0,0,2
166,194_2,ウパー(パルデア),どく,じめん,55,45,45,25,25,15,どくのトゲ,ちょすい,てんねん,11,0,0,9
167,195,ヌオー,みず,じめん,95,85,85,65,65,35,しめりけ,ちょすい,てんねん,75,2,2,2
168,196,エーフィ,エスパー,,65,65,60,130,95,110,シンクロ,,マジックミラー,26.5,2,2,2
169,197,ブラッキー,あく,,95,65,110,60,130,65,シンクロ,,せいしんりょく,27,4,2,2
170,198,ヤミカラス,あく,ひこう,60,85,42,85,42,91,ふみん,きょううん,いたずらごころ,2.1,2,3,2
171,199_1,ヤドキング(通常),みず,エスパー,95,75,80,100,110,30,どんかん,マイペース,さいせいりょく,79.5,1,1,2
172,199_2,ヤドキング(ガラル),どく,エスパー,95,65,80,110,110,30,きみょうなくすり,マイペース,さいせいりょく,79.5,2,2,8
173,200,ムウマ,ゴースト,,60,60,60,85,85,85,ふゆう,,,1,0,0,2
174,203,キリンリキ,ノーマル,エスパー,70,80,65,90,65,85,せいしんりょく,はやおき,そうしょく,41.5,0,0,2
175,204,クヌギダマ,むし,,50,65,90,35,35,15,がんじょう,,ぼうじん,7.2,0,0,2
176,205,フォレトス,むし,はがね,75,90,140,60,60,40,がんじょう,,ぼうじん,125.8,1,1,2
177,206,ノコッチ,ノーマル,,100,70,70,65,65,45,てんのめぐみ,にげあし,びびり,14,0,0,2
178,207,グライガー,じめん,ひこう,65,75,105,35,65,85,かいりきバサミ,すながくれ,めんえき,64.8,0,0,2
179,209,ブルー,フェアリー,,60,80,50,40,40,30,いかく,にげあし,びびり,7.8,0,0,2
180,210,グランブル,フェアリー,,90,120,75,60,60,45,いかく,はやあし,びびり,48.7,0,0,2
181,211_1,ハリーセン(通常),みず,どく,65,95,85,55,55,85,どくのトゲ,すいすい,いかく,3.9,0,0,2
182,211_2,ハリーセン(ヒスイ),あく,どく,65,95,85,55,55,85,どくのトゲ,すいすい,いかく,3.9,0,0,8.5
183,212,ハッサム,むし,はがね,70,130,100,55,80,65,むしのしらせ,テクニシャン,ライトメタル,118,4,4,2
184,214,ヘラクロス,むし,かくとう,80,125,75,40,95,85,むしのしらせ,こんじょう,じしんかじょう,54,1,1,2
185,215_1,ニューラ(通常),あく,こおり,55,95,55,35,75,115,せいしんりょく,するどいめ,わるいてぐせ,28,0,0,2
186,215_2,ニューラ(ヒスイ),かくとう,どく,55,95,55,35,75,115,せいしんりょく,するどいめ,わるいてぐせ,27,0,0,8.5
187,216,ヒメグマ,ノーマル,,60,80,50,50,50,40,ものひろい,はやあし,みつあつめ,8.8,0,0,2
188,217,リングマ,ノーマル,,90,130,75,75,75,55,こんじょう,はやあし,きんちょうかん,125.8,1,1,2
189,218,マグマッグ,ほのお,,40,40,40,70,40,20,マグマのよろい,ほのおのからだ,くだけるよろい,35,0,0,2
190,219,マグカルゴ,ほのお,いわ,60,50,120,90,80,30,マグマのよろい,ほのおのからだ,くだけるよろい,55,1,1,2
191,220,ウリムー,こおり,じめん,50,50,40,30,30,50,どんかん,ゆきがくれ,あついしぼう,6.5,0,0,2
192,221,イノムー,こおり,じめん,100,100,80,60,60,50,どんかん,ゆきがくれ,あついしぼう,55.8,0,0,2
193,225,デリバード,こおり,ひこう,45,55,45,65,45,75,やるき,はりきり,ふみん,16,1,1,2
194,227,エアームド,はがね,ひこう,65,80,140,40,70,70,するどいめ,がんじょう,くだけるよろい,50.5,0,0,2
195,228,デルビル,あく,ほのお,45,60,30,80,50,65,はやおき,もらいび,きんちょうかん,10.8,0,0,2
196,229,ヘルガー,あく,ほのお,75,90,50,110,80,95,はやおき,もらいび,きんちょうかん,35,1,1,2
197,230,キングドラ,みず,ドラゴン,75,95,95,95,95,85,すいすい,スナイパー,しめりけ,152,0,0,2
198,231,ゴマゾウ,じめん,,90,60,60,40,40,40,ものひろい,,すながくれ,33.5,0,0,2
199,232,ドンファン,じめん,,90,120,120,60,60,50,がんじょう,,すながくれ,120,1,1,2
200,233,ポリゴン2,ノーマル,,85,80,90,105,95,60,トレース,ダウンロード,アナライズ,32.5,0,0,2
201,234,オドシシ,ノーマル,,73,95,62,85,65,85,いかく,おみとおし,そうしょく,71.2,1,1,2
202,235,ドーブル,ノーマル,,55,20,35,20,45,75,マイペース,テクニシャン,ムラっけ,58,0,0,2
203,236,バルキー,かくとう,,35,35,35,35,35,35,こんじょう,ふくつのこころ,やるき,21,0,0,2
204,237,カポエラー,かくとう,,50,95,95,35,110,70,いかく,テクニシャン,ふくつのこころ,48,0,0,2
205,239,エレキッド,でんき,,45,63,37,65,55,95,せんでんき,,やるき,23.5,0,0,2
206,240,ブビィ,ほのお,,45,75,37,70,55,83,ほのおのからだ,,やるき,21.4,0,0,2
207,242,ハピナス,ノーマル,,255,10,10,75,135,55,しぜんかいふく,てんのめぐみ,いやしのこころ,46.8,3,2,2
208,243,ライコウ,でんき,,90,85,75,115,100,115,プレッシャー,,せいしんりょく,178,0,0,2
209,244,エンテイ,ほのお,,115,115,85,90,75,100,プレッシャー,,せいしんりょく,198,0,0,2
210,245,スイクン,みず,,100,75,115,90,115,85,プレッシャー,,せいしんりょく,187,0,0,2
211,246,ヨーギラス,いわ,じめん,50,64,50,45,50,41,こんじょう,,すながくれ,72,0,0,2
212,247,サナギラス,いわ,じめん,70,84,70,65,70,51,だっぴ,,,152,0,0,2
213,248,バンギラス,いわ,あく,100,134,110,95,100,61,すなおこし,,きんちょうかん,202,4,4,2
214,249,ルギア,エスパー,ひこう,106,90,130,90,154,110,プレッシャー,,マルチスケイル,216,0,0,2
215,250,ホウオウ,ほのお,ひこう,106,130,90,110,154,90,プレッシャー,,さいせいりょく,199,0,0,2
216,252,キモリ,くさ,,40,45,35,65,55,70,しんりょく,,かるわざ,5,0,0,3
217,253,ジュプトル,くさ,,50,65,45,85,65,95,しんりょく,,かるわざ,21.6,0,0,3
218,254,ジュカイン,くさ,,70,85,65,105,85,120,しんりょく,,かるわざ,52.2,0,0,3
219,255,アチャモ,ほのお,,45,60,40,70,50,45,もうか,,かそく,2.5,0,0,3
220,256,ワカシャモ,ほのお,かくとう,60,85,60,85,60,55,もうか,,かそく,19.5,0,0,3
221,257,バシャーモ,ほのお,かくとう,80,120,70,110,70,80,もうか,,かそく,52,0,0,3
222,258,ミズゴロウ,みず,,50,70,50,50,50,40,げきりゅう,,しめりけ,7.6,0,0,3
223,259,ヌマクロー,みず,じめん,70,85,70,60,70,50,げきりゅう,,しめりけ,28.0,0,0,3
224,260,ラグラージ,みず,じめん,100,110,90,85,90,60,げきりゅう,,しめりけ,81.9,0,0,3
225,261,ポチエナ,あく,,35,55,35,30,30,35,にげあし,はやあし,びびり,13.6,0,0,3
226,262,グラエナ,あく,,70,90,70,60,60,70,いかく,はやあし,じしんかじょう,37,1,1,3
227,270,ハスボー,みず,くさ,40,30,30,40,50,30,すいすい,あめうけざら,マイペース,2.6,0,0,3
228,271,ハスブレロ,みず,くさ,60,50,50,60,70,50,すいすい,あめうけざら,マイペース,32.5,0,0,3
229,272,ルンパッパ,みず,くさ,80,70,70,90,100,70,すいすい,あめうけざら,マイペース,55,2,3,3
230,273,タネボー,くさ,,40,40,50,30,30,30,ようりょくそ,はやおき,わるいてぐせ,4,0,0,3
231,274,コノハナ,くさ,あく,70,70,40,60,40,60,ようりょくそ,はやおき,わるいてぐせ,28,0,0,3
232,275,ダーテング,くさ,あく,90,100,60,90,60,80,ようりょくそ,かぜのり,わるいてぐせ,59.6,2,3,3
233,278,キャモメ,みず,ひこう,40,30,30,55,30,85,するどいめ,うるおいボディ,あめうけざら,9.5,0,0,3
234,279,ペリッパー,みず,ひこう,60,50,100,95,70,65,するどいめ,あめふらし,あめうけざら,28,3,3,3
235,280,ラルトス,エスパー,フェアリー,28,25,25,45,35,40,シンクロ,トレース,テレパシー,6.6,0,0,3
236,281,キルリア,エスパー,フェアリー,38,35,35,65,55,50,シンクロ,トレース,テレパシー,20.2,0,0,3
237,282,サーナイト,エスパー,フェアリー,68,65,65,125,115,80,シンクロ,トレース,テレパシー,48.4,3,2,3
238,283,アメタマ,むし,みず,40,30,32,50,52,65,すいすい,,あめうけざら,1.7,0,0,3
239,284,アメモース,むし,ひこう,70,60,62,100,82,80,いかく,,きんちょうかん,3.6,1,1,3
240,285,キノココ,くさ,,60,40,60,40,60,35,ほうし,ポイズンヒール,はやあし,4.5,0,0,3
241,286,キノガッサ,くさ,かくとう,60,130,80,60,60,70,ほうし,ポイズンヒール,テクニシャン,39.2,4,2,3
242,287,ナマケロ,ノーマル,,60,60,60,35,35,30,なまけ,,,24,0,0,3
243,288,ヤルキモノ,ノーマル,,80,80,80,55,55,90,やるき,,,46.5,0,0,3
244,289,ケッキング,ノーマル,,150,160,100,95,65,100,なまけ,,,130.5,1,3,3
245,296,マクノシタ,かくとう,,72,60,30,20,30,25,あついしぼう,こんじょう,ちからずく,86.4,0,0,3
